"entity_ID","LGM_ice","mean_consensus_full_class_1","mean_consensus_full_class_10","mean_consensus_full_class_11","mean_consensus_full_class_12","mean_consensus_full_class_2","mean_consensus_full_class_3","mean_consensus_full_class_4","mean_consensus_full_class_5","mean_consensus_full_class_6","mean_consensus_full_class_7","mean_consensus_full_class_8","mean_consensus_full_class_9","n_consensus_full_class_1","n_consensus_full_class_10","n_consensus_full_class_11","n_consensus_full_class_12","n_consensus_full_class_2","n_consensus_full_class_3","n_consensus_full_class_4","n_consensus_full_class_5","n_consensus_full_class_6","n_consensus_full_class_7","n_consensus_full_class_8","n_consensus_full_class_9"
1,0,0.20339,0.69492,0.20339,98.89831,0,0,0,0,0,0,0,0,59,59,59,59,59,59,59,59,59,59,59,59
2,0,0,0,0,100,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
3,0,0,0,0,14.32934,23.01796,0,2.53892,0.24551,0,42.34132,3.31737,0,167,167,167,167,167,167,167,167,167,167,167,167
4,0,0,0,0.25,99.75,0,0,0,0,0,0,0,0,48,48,48,48,48,48,48,48,48,48,48,48
5,0,0,0,3.05882,81.94118,0,0,0,1.11765,8.58824,2.70588,2.64706,0,17,17,17,17,17,17,17,17,17,17,17,17
6,0,0,0,0,100,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
7,0,0,0,0,100,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
8,0,0,0,0,100,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
9,0,0,0,0,100,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
10,0,0,0,0,100,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
11,0,0,0,0,100,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
12,0,0,0,0,100,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
13,0,0,0,0,100,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
14,0,0,0,0,100,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
15,0,0,0,0,100,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
16,0,0,0,0,100,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
17,0,0,0,25,75,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
